ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN3760059706847;0;3760059706847;;;;;;;START - DESTRUCTEUR DE SOUCHES DEVITALISEES/MORTES STAR JARDIN 500G - DS500 - ;580;https://images-na.ssl-images-amazon.com/images/I/71Vcc6m2ipL._AC_SL1500_.jpg;;;;;;START;2000;false;1500;1000;1000;OK;AMZS;421;518;B093L54NTZ;;;;DS500;;12;
;EAN3760059706083;0;3760059706083;;;;;;;START - REPULSIF CHIENS ET CHATS 1L - RCC1V2 - ;1105;https://images-na.ssl-images-amazon.com/images/I/21W1okifTFS.jpg;;;;;;START;2000;false;270;90;80;PARTIEL;AMZSok;520;426;;;;;RCC1v2;;12;
;EAN3760059706137;0;3760059706137;;;;;;;START - ANTI OIDIUM ET TAVELURE LIQUIDE PAE 1L - BCS1L - ;1109;https://images-na.ssl-images-amazon.com/images/I/31M5A8fIn0S.jpg;;;;;;START;1000;false;310;80;80;;AMZSok;312;426;B093L4J3BX;;;;BCS1L;;12;
;EAN3760059704478;0;3760059704478;;;;;;;START - ENGRAIS GERANIUMS/PLANTES À MASSIF 12-12-17 1KG - GN1_V2 - ;1000;https://images-na.ssl-images-amazon.com/images/I/41nUQWExB3S.jpg;;;;;;START;2000;false;2900;1700;600;;COL;335;;B093L5288Q;;;;GN1_v2;;12;
;EAN3760059701880;0;3760059701880;;;;;;;START - RAMPE 2 BUSES + RACCORD 1922W - F2 - ;300;https://images-na.ssl-images-amazon.com/images/I/11sn6GQn96S.jpg;;;;;;START;2000;false;2200;2000;600;;;1415;;;;;;F2;;1;
;EAN3760059702993;0;3760059702993;;;;;;;START - REPULSIF LAPIN GRANULE STAR MAISON 400G - RL400 V3 - ;400;https://images-na.ssl-images-amazon.com/images/I/813qw5swrZL._AC_SL1500_.jpg;;;;;;START;2000;false;1400;1000;1000;;;508;;;;;;RL400 v3;;12;
;EAN3760059707899;0;3760059707899;;;;;;;START - ANTI LIMACES ET ESCARGOTS PREMIUM CONCENTRE 400G - ALF400+ - ;400;;;;;;;START;1000;false;1950;1350;600;;COL;507;;;;;;ALF400+;;12;
;EAN3700123854265;0;3700123854265;;;;;;;START - STATION ACTUELLE CITADINE - WS6818WHI-SIL - ;350;https://images-na.ssl-images-amazon.com/images/I/51lTyUrUqtL.jpg;;;;;;START;2000;false;580;2180;2320;;;3402;;WS6818WHI-SIL;;;;WS6818WHI-SIL;;1;
;EAN3760059701910;0;3760059701910;;;;;;;START - BUSE 30 MM - B30 - ;150;;;;;;;START;2000;false;900;300;300;;;356;;B30;;;;B30;;1;
;EAN3760059701798;0;3760059701798;;;;;;;START SAC A DOS - CHARIOT, BOUTEILLE 6KG-13KG 1 SAD;6800;https://images-na.ssl-images-amazon.com/images/I/41qVt+sM4YS.jpg;;;;;;START;2000;false;300;300;3900;;;300;;;;;;SAD;;1;
